"Item_Identifier","Outlet_Identifier","Item_Outlet_Sales"
"FDZ02","OUT035",1741.89917782642
"FDL46","OUT045",1782.4531801019
"FDS60","OUT027",4296.5331768153
"NCO06","OUT017",651.639744461952
"FDO16","OUT035",1520.95525882138
"FDC60","OUT049",1531.81567551084
"FDA48","OUT018",3204.62085403175
"FDZ36","OUT027",4441.52969076369
"FDK27","OUT045",1869.40392559037
"FDW23","OUT018",395.303403420374
"FDM14","OUT018",1503.06437126178
"FDM14","OUT013",1781.06503249615
"FDW60","OUT018",2589.63648715786
"FDE21","OUT013",1902.20551891793
"NCM42","OUT035",1859.9140652661
"FDY59","OUT010",-385.288684998508
"DRI49","OUT049",1393.90664557724
"FDT28","OUT019",538.886883729324
"FDQ22","OUT018",419.061130335859
"FDR60","OUT049",1355.1292441336
"FDC50","OUT019",-394.840112690588
"FDV24","OUT013",2443.46742631679
"DRF48","OUT010",1051.85201903966
"FDQ47","OUT046",675.00408273343
"DRN36","OUT049",1655.36265418701
"NCY06","OUT035",2157.27023100196
"FDE52","OUT035",1657.82714248144
"NCB54","OUT045",1920.44976622855
"NCF31","OUT035",2577.34832406453
"FDJ08","OUT027",4467.30862193933
"NCC07","OUT017",1774.24725621191
"NCD19","OUT027",2328.54751326411
"FDL46","OUT049",1977.21627115035
"FDM20","OUT045",3825.37067990923
"NCI06","OUT010",943.529790899951
"DRM11","OUT035",4194.87288604356
"NCH07","OUT018",2241.46755926797
"FDS23","OUT013",2028.78100028634
"FDO49","OUT018",604.787001141514
"FDS35","OUT049",1143.2660267602
"DRK39","OUT045",1264.13352724203
"DRI39","OUT049",1026.09074010343
"FDV04","OUT017",2659.90169199709
"NCN14","OUT035",3013.79965389771
"FDH08","OUT013",3686.02248845821
"FDS20","OUT046",2920.55576375949
"FDV40","OUT049",1355.46748581414
"FDZ48","OUT010",-160.77276621985
"FDS24","OUT027",2902.42821774165
"FDK44","OUT049",2870.93145171448
"FDS48","OUT045",2367.78264297617
"FDK26","OUT010",1084.81863396173
"FDD23","OUT045",2981.96247135568
"NCH54","OUT017",2670.0168971243
"NCP14","OUT010",-255.652398182306
"FDM60","OUT010",-1172.18954874953
"FDV24","OUT017",2508.11527003394
"FDH08","OUT018",3344.50645299727
"FDS12","OUT027",3452.35595674973
"FDR39","OUT027",4315.48234374994
"FDP12","OUT027",2157.8075703795
"DRF60","OUT027",5172.64050996681
"FDC09","OUT035",1848.20026839051
"FDF50","OUT018",2833.82618999849
"FDG28","OUT035",4039.43692578822
"NCE19","OUT017",986.982040206703
"NCM53","OUT010",-218.180298065409
"NCN18","OUT049",1836.19961221454
"FDF32","OUT035",3308.43247390773
"FDF11","OUT013",3867.20910893193
"DRI59","OUT049",3645.87628610961
"NCG54","OUT035",2831.99637753463
"FDM44","OUT046",1646.45686459144
"FDT57","OUT018",3469.43950279324
"FDV24","OUT046",2403.64562085926
"FDI50","OUT019",1750.51057865181
"FDS09","OUT035",1040.47793948851
"NCC31","OUT027",3916.31054700175
"FDQ07","OUT019",1600.37508118156
"FDC22","OUT017",3170.27985557484
"FDZ56","OUT046",2719.7159413038
"FDZ40","OUT019",-998.053979858392
"FDS46","OUT027",3376.40186895413
"DRD24","OUT045",2199.96048691352
"FDV45","OUT017",3118.72432421403
"FDL26","OUT045",2429.98827634415
"FDA56","OUT018",1693.95521192367
"FDN27","OUT046",1870.25404386669
"FDM20","OUT049",3972.25005561526
"FDO16","OUT017",1453.6720833351
"FDL03","OUT035",3296.31803553602
"FDE58","OUT046",1859.54222010129
"FDI02","OUT027",3275.38139996586
"NCC55","OUT019",-1237.84807795771
"FDR03","OUT018",3045.53519621448
"FDB14","OUT017",1623.08781017503
"FDR45","OUT013",3846.84999226679
"NCN07","OUT017",2134.08063451501
"FDM51","OUT019",-195.249691303338
"FDT52","OUT027",5362.93765122636
"FDL26","OUT046",2475.50060916842
"NCZ42","OUT046",3761.25042107227
"DRI47","OUT019",447.920389185561
"FDW40","OUT013",2352.37625201224
"FDN34","OUT046",2756.51060434086
"FDS01","OUT035",3008.24011151702
"NCG55","OUT045",1762.01051528714
"FDC11","OUT035",1537.01369082951
"FDX35","OUT018",3309.53658766674
"NCB06","OUT046",2539.42324418159
"FDR09","OUT019",2182.98927893386
"FDC53","OUT017",1684.02006334715
"FDY45","OUT013",4061.61163728306
"FDA22","OUT010",763.403121886115
"FDE02","OUT035",1675.85535179072
"FDW21","OUT045",1586.78811061014
"FDV34","OUT046",1286.83001026379
"FDS59","OUT049",1893.85240978813
"NCW17","OUT017",2107.2669595006
"NCK54","OUT046",1853.89451402508
"FDG17","OUT019",1990.57175394706
"FDG35","OUT017",2908.20741975659
"FDD08","OUT010",-1232.3275423744
"NCO07","OUT017",3434.69621964665
"FDJ10","OUT010",370.231536158693
"FDW36","OUT017",1782.92327510446
"FDW21","OUT010",-252.15230109792
"FDY19","OUT017",1975.58335364294
"DRE03","OUT013",796.479824975434
"NCC55","OUT049",753.362030440419
"FDH52","OUT010",-837.663879526409
"FDO09","OUT017",4306.22574142909
"FDU43","OUT045",3747.5190892522
"FDX09","OUT010",877.185769831785
"FDH40","OUT019",-496.168045575072
"FDW58","OUT017",1776.53986777392
"FDC47","OUT017",3688.32242256056
"NCR41","OUT035",1650.5977607746
"DRG49","OUT035",3979.52408915514
"FDC52","OUT027",3962.2438600207
"FDY13","OUT046",1254.89301077067
"FDY35","OUT013",827.460739258354
"FDI35","OUT017",3012.33474243353
"NCU18","OUT049",2362.53664370911
"FDY33","OUT018",2309.0697737368
"FDC15","OUT027",3952.77096695331
"FDU01","OUT049",3110.24356321374
"NCU42","OUT046",2696.45022886137
"NCV29","OUT018",2549.00235501684
"NCY30","OUT017",2988.1376000228
"FDQ46","OUT049",1875.37131066152
"FDG58","OUT027",3966.98416941494
"FDK33","OUT017",3490.62377797711
"NCD07","OUT045",1752.271966755
"NCX29","OUT027",3754.39960917231
"NCT42","OUT013",2383.89254621761
"DRN59","OUT035",904.213853817797
"FDI44","OUT035",1440.35911530082
"FDA45","OUT049",2906.38290312217
"FDP31","OUT045",986.780806951715
"FDY01","OUT046",1862.32785689605
"FDT09","OUT018",1881.66925790848
"DRH03","OUT027",2968.1828714639
"FDA36","OUT018",2691.97272933628
"NCF31","OUT017",2548.12629220547
"FDG14","OUT049",2579.56053296907
"FDG28","OUT027",5370.42742323669
"FDU14","OUT049",4046.96123086126
"FDY47","OUT019",217.018647545206
"FDI56","OUT049",1556.6518655334
"DRD01","OUT013",986.128050275921
"FDM22","OUT046",953.78057253045
"FDH33","OUT013",753.936658218718
"DRZ24","OUT013",1887.17926012479
"NCQ38","OUT046",1672.37613416872
"FDO16","OUT027",2818.61917011893
"FDU07","OUT027",3863.08850905711
"NCB07","OUT013",3085.52197484575
"FDU48","OUT045",2015.93394151544
"NCM43","OUT045",2564.67419296232
"FDR31","OUT010",445.81851184701
"DRK49","OUT018",427.793667426108
"NCI30","OUT010",1905.44980440564
"DRD60","OUT017",2980.9831962169
"NCG19","OUT046",3660.7878764866
"FDH12","OUT035",1829.94334692713
"FDM32","OUT035",1626.56437371742
"FDM27","OUT035",2681.12557174441
"NCU53","OUT027",4058.74775703066
"NCQ18","OUT046",1557.32870961978
"FDS10","OUT013",2888.02732578662
"FDB33","OUT027",3987.763894838
"FDI12","OUT013",1473.16525848651
"NCW42","OUT013",3504.26872706113
"NCC06","OUT018",1734.36428342167
"FDW02","OUT017",2113.69028203001
"NCD43","OUT017",1763.54738813193
"FDM57","OUT018",1132.67596443297
"FDA58","OUT017",3836.9954936769
"FDK56","OUT046",2939.69739560995
"FDP52","OUT045",3620.65212753507
"FDW20","OUT018",1685.59649602203
"FDS52","OUT049",1730.54372498415
"NCT29","OUT018",1609.53191061749
"NCL54","OUT013",2825.58727571467
"FDC05","OUT045",3122.47557246214
"FDF34","OUT035",3327.22351700146
"FDP03","OUT027",3439.81394197706
"FDD32","OUT010",-510.015806381588
"FDZ10","OUT045",1952.04874789542
"FDZ40","OUT035",1048.78310358574
"FDD51","OUT018",471.080796702297
"NCY30","OUT019",937.343913098366
"FDP58","OUT017",3543.35263767846
"FDV49","OUT017",4278.50069140932
"FDY24","OUT019",-1040.03647981935
"NCO55","OUT017",1793.78226339457
"FDR13","OUT017",2015.83518888682
"FDS51","OUT017",1120.44975749779
"FDP26","OUT045",1594.23693909571
"NCB54","OUT027",3473.77429310638
"FDF32","OUT017",3236.53411959218
"FDN31","OUT018",2740.03061169268
"DRM48","OUT017",717.714007216546
"FDN20","OUT049",2802.385467745
"DRL01","OUT046",3693.6793585781
"FDV56","OUT049",1869.52027701953
"DRH13","OUT027",3166.48894267314
"FDA03","OUT017",2493.12306738702
"FDF47","OUT027",4970.97771495126
"FDX32","OUT046",2400.74483056125
"FDX57","OUT049",1698.91319452958
"NCA30","OUT045",2916.06195055959
"FDO49","OUT013",913.778242999817
"FDL04","OUT019",-242.451096084278
"DRM48","OUT035",775.218138718891
"FDR16","OUT013",3405.30202555941
"NCC19","OUT018",2740.52471645895
"NCE42","OUT045",3621.60852565698
"FDY24","OUT017",1010.30416911793
"FDH19","OUT049",2898.58447444553
"FDJ46","OUT013",2812.54725083557
"FDN45","OUT010",1606.22809665256
"FDY08","OUT035",2431.73275714704
"FDZ37","OUT035",1610.92690292461
"NCT30","OUT045",706.870614888461
"DRY23","OUT018",468.90464744433
"NCZ30","OUT018",1627.68376518683
"FDC44","OUT018",1512.5694432544
"FDB45","OUT035",1816.59949590097
"FDY04","OUT013",2690.93410550086
"FDM27","OUT046",2580.04994654007
"FDZ43","OUT017",3959.51320786036
"FDT39","OUT019",571.244784583127
"NCC06","OUT019",83.7166057918068
"FDL15","OUT027",3921.62425623985
"FDL57","OUT017",4206.58810861659
"FDU08","OUT046",1606.74182612976
"FDK40","OUT017",4261.25844796161
"FDQ12","OUT010",1718.56134869394
"FDS48","OUT017",2549.2489374861
"FDP09","OUT045",3289.68763562265
"FDW21","OUT049",1725.70462238282
"FDY25","OUT035",3046.18317456526
"DRE13","OUT017",1477.92672926395
"FDV43","OUT019",-1175.65682799257
"FDD22","OUT045",1714.66804489296
"FDM46","OUT019",-437.130910188027
"NCO30","OUT010",1009.13630915069
"FDM25","OUT046",2824.69695737243
"NCN41","OUT049",2021.67179771421
"FDU24","OUT045",1461.24803230217
"FDZ50","OUT046",2973.68282839228
"FDP45","OUT013",4048.15839060638
"NCM54","OUT045",1903.75400325722
"FDW10","OUT019",878.998461765856
"FDP20","OUT017",2121.94180121792
"FDK32","OUT046",2478.72285521065
"FDN52","OUT049",1559.54084219051
"FDM58","OUT045",1744.84976974974
"FDZ46","OUT027",3216.71781989239
"NCA18","OUT018",1569.70403728141
"FDD35","OUT046",1951.51976262575
"NCK31","OUT035",961.827495432987
"FDI40","OUT027",3105.25681143046
"FDT50","OUT019",-308.396448405563
"NCT06","OUT046",2617.37778579337
"FDT31","OUT035",3138.38411173141
"FDT45","OUT049",976.045119128426
"FDT13","OUT045",2926.76064131821
"FDO50","OUT045",1406.93075897739
"NCU18","OUT010",337.803525298813
"NCR54","OUT049",3166.90398263614
"NCO18","OUT018",2557.54099421259
"FDU09","OUT045",897.376290635529
"FDT13","OUT018",2725.61183947458
"FDE09","OUT046",1803.91736538818
"NCK53","OUT019",-286.240220028667
"FDG45","OUT049",3463.17953785159
"DRH15","OUT035",888.125976259163
"FDO21","OUT019",1709.03396064789
"FDD14","OUT027",4350.82912387494
"FDC09","OUT046",1703.87845039598
"FDH45","OUT027",2226.75480908845
"FDV32","OUT046",1042.43460848923
"FDG12","OUT035",2083.00914395535
"FDS32","OUT013",2345.14530583192
"NCL55","OUT018",3664.20458703534
"DRE01","OUT035",3949.21239363212
"DRE15","OUT049",1368.49011283989
"NCL42","OUT045",3800.43852871622
"FDP31","OUT013",1061.3419445252
"FDN33","OUT018",1256.91445097948
"FDZ59","OUT046",2661.33121128976
"FDE45","OUT010",941.462363698737
"FDJ07","OUT013",1920.47990253098
"FDQ45","OUT018",2720.57105452136
"FDM33","OUT027",4917.56833516422
"FDO15","OUT010",-603.85594306826
"FDM46","OUT013",1507.12970577013
"FDR03","OUT045",3251.24974003678
"FDY49","OUT018",2441.8538114198
"FDQ60","OUT045",1838.75755985587
"FDW10","OUT049",2893.66313170695
"FDO51","OUT049",903.219382937911
"FDJ40","OUT018",1516.58300446197
"FDS20","OUT018",2632.88997065549
"FDU45","OUT013",1876.60031787687
"FDV02","OUT035",2855.74143474032
"FDN09","OUT046",3835.95656957054
"NCM55","OUT027",4398.9842241959
"FDN23","OUT018",2086.59515872794
"FDY31","OUT010",412.672358886824
"FDW03","OUT010",-176.026407628817
"FDD14","OUT046",2887.80310170016
"FDV23","OUT017",2093.8440147907
"DRI03","OUT045",2708.40681649831
"FDN13","OUT035",1718.85549212277
"FDF45","OUT027",2467.08666452461
"FDU46","OUT035",1631.45701456579
"FDB57","OUT049",3655.95549055571
"FDV12","OUT049",1743.34027199164
"FDQ58","OUT013",2468.62424632805
"NCA18","OUT017",1930.35824963335
"FDH52","OUT049",1143.45651098477
"FDM24","OUT018",2164.27073272606
"NCP43","OUT027",4317.22803443599
"NCO18","OUT019",908.425476819525
"FDM32","OUT017",1577.92960999673
"NCL07","OUT017",757.960362217604
"FDK03","OUT013",4068.95988260784
"FDP59","OUT017",1773.55542387775
"FDQ24","OUT049",4051.42753390002
"FDQ16","OUT018",1470.93912702098
"FDU44","OUT013",2658.11828443734
"FDH28","OUT010",-1216.46464820121
"FDV28","OUT019",-1259.07183211147
"FDM22","OUT045",871.944908440364
"FDR56","OUT046",3153.45796400469
"FDV39","OUT049",3244.86335845055
"FDU37","OUT019",-545.74509296376
"FDQ11","OUT010",2149.19544942628
"FDX02","OUT045",3471.46688637624
"NCS42","OUT018",1200.15576774003
"FDY57","OUT027",2997.62391616866
"FDB21","OUT049",3888.89356750334
"FDE28","OUT017",3764.74022342435
"FDQ55","OUT017",1970.28892813893
"FDA48","OUT049",3614.06715332839
"FDZ19","OUT045",2696.39470863321
"NCC43","OUT045",3868.93548490129
"NCV18","OUT046",1302.14150376301
"NCA42","OUT018",2248.70142909593
"FDY45","OUT046",4047.49650501623
"NCC30","OUT045",2766.79343085361
"FDM57","OUT013",1473.90158676469
"FDL09","OUT010",761.01454856029
"FDB09","OUT027",3432.92403268865
"FDT44","OUT035",2026.34162170904
"NCT06","OUT027",4060.48026389701
"FDX26","OUT049",3011.61672576744
"FDK32","OUT013",2539.74534230603
"DRA12","OUT046",2301.51826834693
"FDO46","OUT010",1135.26278526393
"FDE52","OUT013",1501.9449203047
"NCH42","OUT045",3536.22357701417
"FDV08","OUT035",880.987716370847
"FDB47","OUT018",3061.11524619581
"FDC28","OUT010",-151.281352424267
"FDD22","OUT046",1812.60949913366
"FDS07","OUT027",3287.35981480371
"DRI13","OUT045",3359.94137768898
"FDG32","OUT018",3218.33510736166
"FDU14","OUT017",4054.42298130271
"FDD28","OUT019",-932.761552687445
"NCP41","OUT017",1838.39526433999
"FDS08","OUT049",2872.69193402551
"FDX47","OUT045",2497.14453394649
"FDC53","OUT019",-262.095404291808
"FDQ19","OUT035",3995.03303924795
"FDL14","OUT045",2468.79844595634
"FDM33","OUT019",1590.57619364012
"FDA51","OUT045",1757.99154340936
"FDZ27","OUT018",555.423354537504
"FDT04","OUT046",698.359994154697
"DRC13","OUT049",2104.37734145531
"FDR16","OUT027",4862.00866918746
"FDQ03","OUT027",5224.05547182541
"FDE38","OUT035",2820.81981264123
"DRH23","OUT027",2344.92131072414
"FDT11","OUT019",1121.06053694543
"FDD09","OUT035",3027.2633528644
"FDR40","OUT045",1337.33999639255
"FDX07","OUT017",3071.16236310113
"FDR07","OUT035",1688.36645535148
"FDA51","OUT017",1943.9991227764
"FDT59","OUT019",1760.43494897944
"FDF20","OUT017",3218.17796960269
"FDR13","OUT045",1817.8002102013
"FDY26","OUT049",3465.37735123245
"FDW04","OUT017",2203.30245206868
"FDK52","OUT017",3683.28254078073
"FDN60","OUT049",2618.90688436485
"FDM09","OUT019",869.068822472872
"FDP46","OUT049",1530.12230456715
"FDB50","OUT019",-621.551085779291
"NCQ29","OUT049",4145.49766957145
"FDP16","OUT027",5322.98419054907
"FDX33","OUT018",2341.8136251381
"FDP07","OUT010",1188.87507808172
"FDN22","OUT046",3980.48822575255
"FDF39","OUT049",4276.2931242951
"FDS21","OUT017",1123.21732941557
"NCM42","OUT013",1713.85505950283
"FDK50","OUT019",727.704260636861
"DRF13","OUT027",3815.62417688558
"FDH35","OUT018",2348.48008754664
"FDP60","OUT018",1326.7970249005
"DRJ49","OUT027",3492.63175488875
"NCT42","OUT019",455.89474714085
"FDE38","OUT049",2772.10069323955
"FDI04","OUT049",3298.68283761612
"NCH54","OUT045",2444.25256414636
"FDT56","OUT049",1086.51699287793
"DRD15","OUT018",3382.16666405287
"FDV58","OUT013",3088.08917446278
"FDP21","OUT049",3119.76980972733
"FDH05","OUT013",3749.56950975618
"FDR10","OUT027",4051.91604579621
"NCP06","OUT045",2303.37504272309
"FDF33","OUT049",1812.17436512479
"DRK37","OUT013",2982.32999757903
"DRH49","OUT045",1287.60517597276
"FDT58","OUT013",2708.57884812065
"FDD41","OUT018",1426.93950335237
"FDP40","OUT018",1501.4792464754
"FDM51","OUT027",3143.97713355241
"FDO45","OUT010",-450.872812866286
"FDW33","OUT010",-220.119384950124
"FDY24","OUT045",827.128031710475
"FDB10","OUT010",1833.91643900231
"FDM40","OUT035",2420.55021963622
"NCI06","OUT017",2970.08100674388
"FDW12","OUT019",467.086400245244
"FDX48","OUT027",3985.05912429794
"NCW05","OUT027",3106.81440372421
"FDX27","OUT017",1655.98612334667
"DRM37","OUT045",3058.39671492072
"FDA38","OUT045",3725.90030859655
"FDR36","OUT046",727.377987633272
"FDZ45","OUT046",3163.48728818905
"FDG05","OUT017",2689.93383016785
"FDK28","OUT013",4080.64409936642
"FDV47","OUT045",1332.89577476487
"FDN21","OUT045",2498.78931953667
"FDP20","OUT027",3459.09866493616
"FDI35","OUT045",2841.07970387209
"DRY23","OUT013",794.047575789283
"FDA56","OUT017",2068.00589727075
"FDB09","OUT013",1989.01765456286
"NCO26","OUT027",3282.48867555842
"FDQ49","OUT018",2275.34558701979
"FDI52","OUT027",3378.6653452892
"FDZ44","OUT027",3326.222711927
"FDZ09","OUT018",2347.32445054773
"FDY03","OUT049",1937.82978389889
"NCG42","OUT017",2128.31479794532
"DRI13","OUT027",4895.69403037066
"FDQ32","OUT013",2064.48619829504
"FDW16","OUT035",1665.63794864714
"FDU27","OUT046",799.828792212512
"FDR28","OUT010",752.349028507794
"FDQ49","OUT010",658.867957098326
"FDS37","OUT046",1854.46142940353
"FDW26","OUT018",3251.7242391129
"FDX12","OUT018",3577.04440602832
"NCP06","OUT013",2422.03996885447
"FDW45","OUT010",430.063645728447
"NCN30","OUT049",1610.59351415482
"FDN24","OUT049",969.01096877839
"NCL41","OUT027",2039.03591392003
"FDR02","OUT019",-136.43646604149
"FDD09","OUT010",987.621859889166
"FDS33","OUT010",-475.605786912189
"FDU22","OUT045",1834.75678558446
"FDI53","OUT013",2663.46855270681
"DRH01","OUT049",2874.69167655168
"FDX32","OUT013",2378.71664598275
"NCP30","OUT018",374.778442687765
"FDB60","OUT045",3056.17316330571
"FDB14","OUT049",1629.03459451868
"NCP02","OUT035",1066.82406158588
"FDJ10","OUT017",2372.59765244708
"FDG34","OUT046",1821.99871261539
"NCB18","OUT017",1500.35226712384
"FDM16","OUT049",1381.84094292989
"FDW25","OUT018",1084.83313440066
"FDB35","OUT010",-388.262187558111
"DRN11","OUT013",2300.61274763001
"FDF41","OUT019",1994.638793954
"FDH16","OUT045",1378.76222585195
"NCQ50","OUT018",3064.80996195061
"DRH23","OUT018",619.93154707236
"DRJ37","OUT013",2462.54181481425
"DRJ24","OUT027",4370.99973101899
"FDY16","OUT035",3098.74116292072
"FDQ27","OUT045",1640.0746084405
"FDZ33","OUT045",2322.84159892217
"FDF29","OUT045",2064.7297676628
"FDA08","OUT049",2764.12673656974
"FDG31","OUT046",1062.30622699412
"FDE34","OUT019",1022.83977265126
"NCR30","OUT027",2630.84982956611
"FDV33","OUT035",4264.32773263651
"DRZ24","OUT018",1607.38854726808
"NCL54","OUT035",2892.00338982098
"FDR12","OUT049",2915.98067609685
"NCC54","OUT046",3780.927849179
"DRN59","OUT013",792.435717140018
"FDX50","OUT019",-156.803886995551
"FDV31","OUT027",4292.93597839935
"NCA29","OUT027",4198.88801732963
"FDW60","OUT049",2947.03647621803
"FDX08","OUT017",3027.80411110807
"DRD49","OUT013",3725.95150828603
"FDD33","OUT046",3651.22602923046
"FDW35","OUT013",781.228006871916
"FDJ36","OUT017",1789.46280170635
"FDV51","OUT035",2817.19453673621
"FDW36","OUT046",1715.40895655136
"FDH35","OUT046",2643.71990239239
"NCS30","OUT027",3470.7948926321
"FDN49","OUT017",797.44350130206
"FDL08","OUT018",3614.15916978015
"FDI09","OUT013",3835.4252846992
"FDP19","OUT018",1757.80120448075
"FDU21","OUT010",-1267.60809159134
"NCP41","OUT045",1638.86937179182
"FDY10","OUT013",1828.58514222365
"FDP12","OUT018",428.994800032209
"NCN26","OUT049",1933.78579760058
"FDK44","OUT013",2806.13948031374
"FDC28","OUT049",1843.56555266593
"FDJ41","OUT027",5594.31349312499
"NCT29","OUT035",2084.62187610809
"NCH42","OUT019",1677.67225559181
"FDU60","OUT018",2431.62737693145
"FDS02","OUT045",3032.61281762247
"FDC51","OUT046",2014.60533781834
"FDU03","OUT013",2971.98089883932
"FDX39","OUT045",3336.99053137777
"NCY05","OUT010",-1284.84402509966
"NCL06","OUT027",5522.15519675686
"FDD32","OUT035",1503.58484416022
"NCN41","OUT045",1854.83341875024
"NCX53","OUT049",2357.12422642463
"FDU57","OUT019",541.861041702854
"FDQ23","OUT046",1668.98306324299
"FDQ52","OUT045",3847.53122396194
"FDC14","OUT045",681.294986555344
"FDY09","OUT035",2979.10874321774
"FDQ28","OUT045",2494.02007657503
"FDV25","OUT046",3480.44224307238
"FDJ07","OUT035",2001.33972234036
"DRB25","OUT049",1784.17700294326
"FDK52","OUT019",1651.54349145371
"FDY52","OUT027",2475.53974875238
"FDB28","OUT046",3123.64452564339
"FDT36","OUT035",788.127605331916
"FDV25","OUT017",3600.32655589928
"NCN07","OUT027",3487.73608088718
"FDC57","OUT017",3209.91236032847
"FDQ03","OUT018",3505.4970624452
"FDU23","OUT017",2795.31987768329
"NCX41","OUT035",3489.1662649299
"NCD06","OUT035",905.294816248567
"FDW08","OUT045",1631.51573830512
"NCU29","OUT017",2421.93569480777
"NCE06","OUT013",2559.18874858812
"FDV52","OUT010",-36.2047121204578
"FDB02","OUT017",2976.35408762978
"NCR18","OUT045",649.932620075498
"FDK16","OUT049",1619.06894253171
"NCQ29","OUT010",2121.93446063269
"FDZ01","OUT019",-174.552301557328
"FDW27","OUT035",2669.90581526881
"FDD17","OUT018",3480.44795168545
"FDW39","OUT013",2886.30614410996
"DRH59","OUT045",1132.28296222399
"FDS52","OUT013",1683.31831749504
"FDU40","OUT027",4547.0686116207
"NCF54","OUT013",2778.05706297453
"FDH46","OUT045",1623.77720038714
"NCP14","OUT049",1724.2995792735
"FDH50","OUT049",3077.31076748383
